ID,MOVIE,YEAR,RATING,WATCHED,CINEMA
672,Harry Potter and the Chamber of Secrets,2002,4,2016-11-13,FALSE
673,Harry Potter and the Prisoner of Azkaban,2004,5,2016-11-14,FALSE
674,Harry Potter and the Goblet of Fire,2005,4,2016-11-06,FALSE
259316,Fantastic Beast and Where to Find Them,2016,4,2016-11-17,TRUE
675,Harry Potter and the Order of Phoenix,2007,4,2016-11-26,FALSE
767,Harry Potter and the Half-Blood Prince,2009,4,2016-11-27,FALSE
12444,Harry Potter and the Deathly Hallows Part I,2010,4,2016-12-11,TRUE
329865,Arrival,2016,4,2016-12-14,FALSE
12445,Harry Potter and the Deathly Hallows Part II,2011,5,2016-12-18,FALSE
8681,Taken,2008,4,2016-12-19,FALSE
330459,Rogue One,2016,4,2016-12-19,TRUE
9631,The Negotiator,1998,5,2016-12-24,FALSE
329440,The Forest,2016,3,2016-12-27,FALSE
302946,The Accountant,2016,3,2016-12-28,FALSE
345911,Lights Out,2016,4,2016-12-30,FALSE
313369,La La Land,2016,5,2017-01-17,FALSE
376867,Moonlight,2016,5,2017-01-21,FALSE
346685,The Girl on The Train,2016,2,2017-01-22,FALSE
334541,Manchester by the Sea,2016,4,2017-01-26,FALSE
338766,Hell or High Water,2016,4,2017-02-01,FALSE
393457,Fences,2016,3,2017-02-04,TRUE
381284,Hidden Figures,2016,4,2017-02-09,TRUE
263115,Logan,2017,4,2017-03-02,FALSE
377462,O.J.: Made in America,2016,5,2017-03-18,FALSE
75638,Red Lights,2012,2,2017-03-18,FALSE
381288,Split,2017,4,2017-03-24,TRUE
68730,Silence,2016,3,2017-03-25,FALSE
245891,John Wick,2014,4,2017-03-27,FALSE
315837,Ghost in the Shell,2017,3,2017-03-30,TRUE
363676,Sully,2016,3,2017-04-22,FALSE
283995,Guardians of the Galaxy Vol. 2,2017,4,2017-05-01,TRUE
419430,Get Out,2017,4,2017-05-14,FALSE
397243,The Autopsy of Jane Doe,2016,3,2017-05-28,FALSE
297762,Wonder Woman,2017,4,2017-06-01,TRUE
324552,John Wick: Chapter 2,2017,3,2017-06-04,FALSE
395992,Life,2017,3,2017-06-11,FALSE
9693,Children of Men,2006,3,2017-06-16,FALSE
120,The Lord of the Rings: The Fellowship of the Ring,2001,4,2017-06-18,FALSE
61791,Rise of the Planet of the Apes,2011,4,2017-06-28,FALSE
119450,Dawn of the Planet of the Apes,2014,4,2017-07-01,FALSE
328387,Nerve,2017,3,2017-07-02,FALSE
315635,Spider-Man: Homecoming,2017,4,2017-07-07,TRUE
411088,Contratiempo,2016,3,2017-07-09,FALSE
65086,The Woman in Black,2012,3,2017-07-25,FALSE
374720,Dunkirk,2017,4,2017-07-28,TRUE
18405,The Last House on the Left,2009,3,2017-07-30,FALSE
281338,War for the Planet of the Apes,2017,5,2017-08-06,TRUE
306947,The Invitation,2015,3,2017-08-11,FALSE
12477,Grave of the Fireflies,1988,5,2017-08-11,FALSE
372058,Your Name,2016,4,2017-08-12,FALSE
9323,Ghost In The Shell,1995,3,2017-08-13,FALSE
351460,Death Note,2017,1,2017-08-26,FALSE
396422,Annabelle: Creation,2017,3,2017-08-27,TRUE
418078,It Comes At Night,2017,2,2017-09-01,FALSE
7446,Tropic Thunder,2008,4,2017-09-03,FALSE
345938,The Shack,2017,2,2017-09-09,FALSE
346364,It,2017,5,2017-09-15,TRUE
238,The Godfather,1972,5,2017-09-17,FALSE
381283,Mother,2017,4,2017-10-03,TRUE
335984,Blade Runner 2049,2017,5,2017-10-10,TRUE
339403,Baby Driver,2017,4,2017-10-22,FALSE
343674,Gerald's Game,2017,3,2017-11-03,FALSE
284053,Thor: Ragnarok,2017,3,2017-11-03,TRUE
395834,Wind River,2017,3,2017-11-12,FALSE
141052,Justice League,2017,3,2017-11-16,TRUE
269149,Zootopia,2016,4,2017-11-17,FALSE
294016,Trumbo,2015,4,2017-12-16,FALSE
400106,Bright,2017,3,2017-12-23,FALSE
181808,Star Wars: Episode VIII The Last Jedi,2017,4,2017-12-26,TRUE
297762,Wonder,2017,4,2018-01-02,TRUE
21208,Orphan,2009,3,2018-01-21,FALSE
2898,As Good as It Gets,1997,3,2018-01-28,FALSE
49018,Insidious,2010,3,2018-02-16,FALSE
446354,The Post,2017,3,2018-02-22,FALSE
392044,Murder on the Orient Express,2017,3,2018-03-01,FALSE
399055,The Shape of Water,2017,4,2018-03-05,FALSE
429200,Good Time,2017,3,2018-03-09,FALSE
284054,Black Panther,2018,3,2018-03-13,TRUE
359940,Three Billboards Outside Ebbing Missouri,2017,4,2018-03-17,FALSE
354912,Coco,2017,4,2018-03-21,FALSE
300668,Annihilation,2018,3,2018-03-25,FALSE
333339,Ready Player One,2018,3,2018-03-29,TRUE
447332,A Quiet Place,2018,4,2018-04-02,TRUE
91586,Insidious: Chapter 2,2013,3,2018-04-06,FALSE
280092,Insidious: Chapter 3,2015,3,2018-04-10,FALSE
862,Toy Story,1995,5,2018-04-14,FALSE
9487,A Bug's Life,1998,4,2018-04-18,FALSE
299536,Avengers: Infinity War,2018,4,2018-04-22,TRUE
863,Toy Story 2,1999,3,2018-04-26,FALSE
585,Monsters Inc,2001,4,2018-04-30,FALSE
371638,The Disaster Artist,2017,4,2018-05-15,FALSE
353486,Jumanji: Welcome to the Jungle,2017,3,2018-06-01,FALSE
383498,Deadpool 2,2018,3,2018-06-03,TRUE
343668,Kingsman: The Golden Circle,2017,3,2018-07-05,FALSE
425972,Cargo,2017,3,2018-06-08,FALSE
49047,Gravity,2013,5,2018-06-08,FALSE
401981,Red Sparrow,2018,3,2018-06-09,FALSE
260513,Incredibles 2,2018,5,2018-06-28,TRUE
334533,Captain Fantastic,2016,4,2018-07-01,FALSE
363088,Ant-Man and the Wasp,2018,3,2018-07-05,TRUE
338970,Tomb Raider,2018,3,2018-07-07,FALSE
476299,Ghostland,2018,3,2018-07-07,FALSE
345,Eyes Wide Shut,1999,4,2018-07-08,FALSE
56292,Mission: Impossible – Ghost Protocol,2011,3,2018-07-28,FALSE
353081,Mission: Impossible - Fallout,2018,3,2018-08-03,TRUE
281,Strange Days,1995,3,2018-08-25,FALSE
493922,Hereditary,2018,4,2018-08-25,FALSE
500664,Upgrade,2018,3,2018-08-26,FALSE
393519,Raw,2016,3,2018-09-01,FALSE
6114,Dracula,1992,4,2018-09-02,FALSE
162,Edward Scissorhands,1991,4,2018-09-07,FALSE
439079,The Nun,2018,3,2018-09-08,TRUE
259693,The Conjuring 2,2016,5,2018-09-08,FALSE
489999,Searching,2018,4,2018-09-28,TRUE
335983,Venom,2018,3,2018-10-10,TRUE
318256,Hot Girls Wanted,2015,3,2018-10-10,FALSE
22538,Scott Pilgrim vs. the World,2010,4,2018-10-25,FALSE
351286,Jurassic World: Fallen Kingdom,2018,3,2018-10-28,FALSE
345887,The Equalizer 2,2018,3,2018-10-31,FALSE
418680,Goodbye Christopher Robin,2017,3,2018-11-01,FALSE
948,Halloween,1978,3,2018-11-04,TRUE
338952,Fantastic Beasts: The Crimes of Grindelwald,2018,3,2018-12-07,TRUE
297802,Aquaman,2018,4,2018-12-09,TRUE
405774,Bird Box,2018,4,2018-12-23,FALSE
339877,Loving Vincent,2017,4,2019-01-11,FALSE
424694,Bohemian Rhapsody,2018,3,2019-02-20,FALSE
299537,Captain Marvel,2019,3,2019-03-16,TRUE
490132,Green Book,2018,4,2019-03-10,FALSE
480530,Creed II,2018,4,2019-03-24,FALSE
287947,Shazam,2019,4,2019-04-07,TRUE
299534,Avengers: Endgame,2019,4,2019-04-21,FALSE
450465,Glass,2019,3,2019-04-28,FALSE
487558,BlacKKKlansman,2018,4,2019-06-12,FALSE
458723,Us,2019,4,2019-06-25,FALSE
474350,It Chapter Two,2019,3,2019-09-07,TRUE
310307,The Founder,2017,3,2019-09-18,FALSE
475557,Joker,2019,5,2019-10-01,TRUE
559969,El Camino,2019,4,2019-10-04,FALSE
568091,Fractured,2019,3,2019-10-16,FALSE
396422,Annabelle: Creation,2017,4,2019-11-01,FALSE
398978,The Irishman,2019,3,2019-12-05,FALSE
181812,Star Wars: The Rise of Skywalker,2019,3,2019-12-26,TRUE
496243,Parasite,2019,4,2020-01-01,FALSE
546554,Knives Out,2019,5,2020-01-03,FALSE
503919,The Lighthouse,2019,3,2020-01-04,FALSE
466272,Once Upon a Time in Hollywood,2019,5,2020-01-21,FALSE
515001,Jojo Rabbit,2019,4,2020-02-01,FALSE
157433,Pet Sematary,2019,3,2020-01-21,FALSE
530915,1917,2019,4,2020-01-31,TRUE
473033,Uncut Gems,2019,5,2020-02-13,FALSE
64682,The Great Gatsby,2013,3,2020-02-25,FALSE
68722,The Master,2012,3,2020-02-27,FALSE
